row,candidate,chamber,incumbent,stateDist,candStem,lname,generalElec,party,nominateAdj,duckM,fname,state,candStemDIME,recipient.cfscore,dwdime,recipient.cfscore.dyn,district,gen.vote.pct,...1,avgIdeal,idealTwitter,idealWeb,twWeight,liberal,conservative,moderate,thetaExternal,thetaStart,sigmaStart,idealWebLibcon,seThetaWebLibcon,wordCountWebLibcon,idealTwitterLibcon,seThetaTwitterLibcon,wordCountTwitterLibcon,partyLeader,followersCampaign,followersOfficial,house,rep,webIdeal,twIdeal,prob,diff,year
36,Gary Peters,Senate,1,MI-Sen02,MI-Sen02-peters_gary-,peters,1,D,-0.246,NA,gary,MI,MI-Sen02-peters_gary-,-0.894,-0.838,-0.94,MIS20,NA,1327,-0.46,-0.46,-0.47,0.69,0,0,0,-0.77,-0.773816351,0.5,-0.47,0.0408,1605,-0.46,0.008,42583,0,31752,NA,0,0,-0.47,-0.46,0.32,-0.434,2020
37,John James,Senate,0,MI-Sen02,MI-Sen02-james_john-,james,1,R,NA,NA,john,MI,MI-Sen02-james_john-,1.427,0.944,1.437,MIS20,48.22,1328,1.06,1.19,1.01,0.27,0,0,0,NA,1.034735001,0.5,1.01,0.0379,1493,1.19,0.0186,6573,0,242848,NA,0,1,1.01,1.19,0.86,0.367,2020
38,Jason Lewis,Senate,0,MN-Sen02,MN-Sen02-lewis_jason-,lewis,1,R,NA,NA,jason,MN,MN-Sen02-lewis_jason-,1.478,1.088,1.484,MNS20,43.5,1394,1.5,1.54,1.1,0.91,0,0,0,NA,1.034735001,0.5,1.1,0.0829,335,1.54,0.0063,41818,0,24438,NA,0,1,1.1,1.54,0.93,-0.022,2020
39,Tina Smith,Senate,1,MN-Sen02,MN-Sen02-smith_tina-,smith,1,D,-0.398,NA,tina,MN,MN-Sen02-smith_tina-,-0.959,-1.037,-0.965,MNS20,48.74,1399,-0.82,-0.91,-0.7,0.58,0,0,0,-1.11,-1.111291131,0.5,-0.7,0.0337,2573,-0.91,0.0081,42189,0,81345,NA,0,0,-0.7,-0.91,0.21,-0.139,2020
40,Cindy Hyde-Smith,Senate,1,MS-Sen02,MS-Sen02-hyde-smith_cindy-,hyde-smith,1,R,0.431,NA,cindy,MS,MS-Sen02-hyde-smith_cindy-,1.354,1.086,1.237,MSS20,54.11,1463,0.74,0.69,0.94,0.78,0,0,0,0.73,0.729278561,0.5,0.94,0.046,687,0.69,0.0092,28844,0,20313,NA,0,1,0.94,0.69,0.77,0.614,2020
41,Mike Espy,Senate,0,MS-Sen02,MS-Sen02-espy_mike-,espy,1,D,NA,NA,michael,MS,MS-Sen02-espy_michael-,-0.936,-0.951,-0.942,MSS20,44.13,1465,-0.79,-0.88,-0.62,0.66,0,0,0,NA,-0.870059059,0.5,-0.62,0.045,1460,-0.88,0.0093,33576,0,119387,NA,0,0,-0.62,-0.88,0.21,-0.146,2020
42,Steve Bullock,Senate,0,MT-Sen02,MT-Sen02-bullock_steve-,bullock,1,D,NA,NA,steve,MT,MT-Sen02-bullock_steve-,-0.997,-0.721,-1.018,MTS20,44.99,1481,-0.74,-1.09,-0.43,0.47,0,0,0,NA,-0.870059059,0.5,-0.43,0.03,3169,-1.09,0.009,32865,0,196791,NA,0,0,-0.43,-1.09,0.23,-0.257,2020
43,Steve Daines,Senate,1,MT-Sen02,MT-Sen02-daines_steve-,daines,1,R,0.574,NA,steven,MT,MT-Sen02-daines_steven-,1.33,1.25,1.35,MTS20,55.01,1482,0.92,0.89,1.1,0.88,0,0,0,1.05,1.046771282,0.5,1.1,0.1015,212,0.89,0.0118,17920,0,NA,68633,0,1,1.1,0.89,0.82,0.41,2020
44,Cal Cunningham,Senate,0,NC-Sen02,NC-Sen02-cunningham_cal-,cunningham,1,D,NA,NA,cal,NC,NC-Sen02-cunningham_cal-,-0.914,-0.714,-0.919,NCS20,46.94,1554,-0.72,-0.78,-0.64,0.54,0,0,0,NA,-0.870059059,0.5,-0.64,0.0404,1823,-0.78,0.0107,24838,0,89602,NA,0,0,-0.64,-0.78,0.24,-0.194,2020
45,Thom Tillis,Senate,1,NC-Sen02,NC-Sen02-tillis_thom-,tillis,1,R,0.41,NA,thom,NC,NC-Sen02-tillis_thom-,1.231,0.922,1.268,NCS20,48.69,1560,0.89,0.91,0.54,0.94,0,0,0,0.68,0.682653755,0.5,0.54,0.0899,216,0.91,0.0074,42174,0,42772,NA,0,1,0.54,0.91,0.81,0.341,2020
46,Ben Sasse,Senate,1,NE-Sen02,NE-Sen02-sasse_ben-,sasse,1,R,0.709,NA,benjamin,NE,NE-Sen02-sasse_benjamin-,0.972,1.531,0.907,NES20,62.74,1589,NA,NA,NA,NA,0,1,0,1.35,1.346502172,0.5,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,NA,NA,NA,NA,2020
47,Chris Janicek,Senate,0,NE-Sen02,NE-Sen02-janicek_chris-,janicek,1,D,NA,NA,chris,NE,NE-Sen02-janicek_chris-,-0.98,-0.676,-0.98,NES20,24.43,1590,-0.91,-1.32,-0.84,0.15,0,0,0,NA,-0.870059059,0.5,-0.84,0.0386,2209,-1.32,0.0229,4628,0,2934,NA,0,0,-0.84,-1.32,0.18,-0.07,2020
48,Corky Messner,Senate,0,NH-Sen02,NH-Sen02-messner_corky-,messner,1,R,NA,NA,bryant,NH,NH-Sen02-messner_bryant-,1.308,1.544,1.308,NHS20,40.99,1609,1.12,NA,1.12,0,0,0,0,NA,1.034735001,0.5,1.12,0.0438,967,NA,NA,NA,0,NA,NA,0,1,1.12,NA,0.87,0.188,2020
49,Jeanne Shaheen,Senate,1,NH-Sen02,NH-Sen02-shaheen_jeanne-,shaheen,1,D,-0.237,NA,jeanne,NH,NH-Sen02-shaheen_jeanne-,-0.896,-0.779,-0.947,NHS20,56.64,1612,-0.53,-0.54,-0.52,0.59,0,0,0,-0.75,-0.753834291,0.5,-0.52,0.0338,2647,-0.54,0.0081,44031,0,19694,NA,0,0,-0.52,-0.54,0.3,-0.366,2020
50,Justin O'Donnell,Senate,0,NH-Sen02,NH-Sen02-odonnell_justin-,odonnell,1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1613,NA,NA,NA,NA,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,2020
51,Cory Booker,Senate,1,NJ-Sen02,NJ-Sen02-booker_cory-,booker,1,D,-0.592,NA,cory,NJ,NJ-Sen02-booker_cory-,-0.885,-1.323,-0.882,NJS20,57.23,1686,-1.4,-1.39,-1.51,0.92,1,0,0,-1.54,-1.542015522,0.5,-1.51,0.0628,310,-1.39,0.0073,40758,0,4671942,NA,0,0,-1.51,-1.39,0.08,0.515,2020
52,Rik Mehta,Senate,0,NJ-Sen02,NJ-Sen02-mehta_rik-,mehta,1,R,NA,NA,rikin,NJ,NJ-Sen02-mehta_rikin-,1.122,0.623,1.122,NJS20,40.92,1692,1.21,1.41,1.1,0.36,0,0,0,NA,1.034735001,0.5,1.1,0.0487,862,1.41,0.0186,5630,0,28583,NA,0,1,1.1,1.41,0.89,-0.088,2020
53,Ben Ray Lujan,Senate,0,NM-Sen02,NM-Sen02-lujan_benray-,lujan,1,D,NA,-1.397470957,ben,NM,NM-Sen02-lujan_ben-,-0.844,-1.055,-0.879,NMS20,51.73,1720,-0.83,-0.87,-0.66,0.79,0,0,0,-0.93,-0.930999469,0.5,-0.66,0.0539,992,-0.87,0.008,43026,0,NA,NA,0,0,-0.66,-0.87,0.2,-0.014,2020
54,Bob Walsh,Senate,0,NM-Sen02,NM-Sen02-walsh_bob-,walsh,1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1721,NA,NA,NA,NA,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,2020
55,Mark Ronchetti,Senate,0,NM-Sen02,NM-Sen02-ronchetti_mark-,ronchetti,1,R,NA,NA,mark,NM,NM-Sen02-ronchetti_mark-,1.403,1.473,1.42,NMS20,45.62,1724,1.15,1.33,0.96,0.51,0,0,0,NA,1.034735001,0.5,0.96,0.0486,790,1.33,0.0161,9808,0,13525,NA,0,1,0.96,1.33,0.87,0.253,2020
56,Abby Broyles,Senate,0,OK-Sen02,OK-Sen02-broyles_abby-,broyles,1,D,NA,NA,abby,OK,OK-Sen02-broyles_abby-,-0.823,-0.836,-0.826,OKS20,32.75,2036,-0.77,-0.9,-0.65,0.48,0,0,0,NA,-0.870059059,0.5,-0.65,0.0525,1255,-0.9,0.0148,13822,0,50864,NA,0,0,-0.65,-0.9,0.22,-0.053,2020
57,Jim Inhofe,Senate,1,OK-Sen02,OK-Sen02-inhofe_jim-,inhofe,1,R,0.554,NA,james,OK,OK-Sen02-inhofe_james-,1.127,1.177,1.092,OKS20,62.91,2038,0.91,0.89,1.11,0.93,0,0,0,1,1.002366705,0.5,1.11,0.0881,205,0.89,0.0087,30595,0,2320,NA,0,1,1.11,0.89,0.82,0.217,2020
58,Jeff Merkley,Senate,1,OR-Sen02,OR-Sen02-merkley_jeff-,merkley,1,D,-0.441,NA,jeffrey,OR,OR-Sen02-merkley_jeffrey-,-1.036,-1.189,-1.047,ORS20,56.91,2090,-1.39,-1.39,-1.4,0.76,0,0,0,-1.21,-1.206760971,0.5,-1.4,0.0403,1136,-1.39,0.0071,42882,0,105928,NA,0,0,-1.4,-1.39,0.08,0.354,2020
59,Jo Rae Perkins,Senate,0,OR-Sen02,OR-Sen02-perkins_jorae-,perkins,1,R,NA,NA,jo,OR,OR-Sen02-perkins_jo-,1.535,1.501,1.509,ORS20,39.32,2091,1.63,1.76,0.91,0.84,0,0,0,NA,1.034735001,0.5,0.91,0.0902,321,1.76,0.0098,20238,0,NA,NA,0,1,0.91,1.76,0.95,-0.095,2020
60,Allen Waters,Senate,0,RI-Sen02,RI-Sen02-waters_allen-,waters,1,R,NA,NA,allen,RI,RI-Sen02-waters_allen-,1.413,1.182,1.275,RIS20,33.35,2174,1.11,NA,1.11,0,0,0,0,NA,1.034735001,0.5,1.11,0.063,382,NA,NA,NA,0,453,NA,0,1,1.11,NA,0.87,0.303,2020
61,Jack Reed,Senate,1,RI-Sen02,RI-Sen02-reed_jack-,reed,1,D,-0.367,NA,john,RI,RI-Sen02-reed_john-,-0.573,-1.037,-0.635,RIS20,66.48,2175,-0.83,-0.84,-0.8,0.85,0,0,0,-1.04,-1.042464038,0.5,-0.8,0.1194,244,-0.84,0.014,15731,0,NA,101350,0,0,-0.8,-0.84,0.2,0.257,2020
62,Jaime Harrison,Senate,0,SC-Sen02,SC-Sen02-harrison_jaime-,harrison,1,D,NA,NA,jaime,SC,SC-Sen02-harrison_jaime-,-1.041,-0.915,-1.041,SCS20,44.17,2206,-0.71,-0.95,-0.52,0.44,0,0,0,NA,-0.870059059,0.5,-0.52,0.0314,2949,-0.95,0.0102,27233,0,686735,NA,0,0,-0.52,-0.95,0.24,-0.331,2020
63,Lindsey Graham,Senate,1,SC-Sen02,SC-Sen02-graham_lindsey-,graham,1,R,0.387,NA,lindsey,SC,SC-Sen02-graham_lindsey-,1.118,0.965,1.143,SCS20,54.44,2208,1.18,1.41,0.76,0.65,0,0,0,0.63,0.631588492,0.5,0.76,0.0344,1236,1.41,0.0083,27159,0,NA,2021960,0,1,0.76,1.41,0.88,-0.062,2020
64,Dan Ahlers,Senate,0,SD-Sen02,SD-Sen02-ahlers_dan-,ahlers,1,D,NA,NA,dan,SD,SD-Sen02-ahlers_dan-,-0.933,-0.996,-0.991,SDS20,34.26,2216,-0.4,-0.56,-0.38,0.11,0,0,0,NA,-0.870059059,0.5,-0.38,0.0456,1292,-0.56,0.04,1819,0,7056,NA,0,0,-0.38,-0.56,0.34,-0.533,2020
65,Mike Rounds,Senate,1,SD-Sen02,SD-Sen02-rounds_mike-,rounds,1,R,0.375,NA,mike,SD,SD-Sen02-rounds_mike-,1.111,0.821,1.11,SDS20,65.74,2217,0.75,0.74,0.77,0.64,0,0,0,0.6,0.604945747,0.5,0.77,0.0482,745,0.74,0.0128,15377,0,2716,NA,0,1,0.77,0.74,0.77,0.361,2020
66,Bill Hagerty,Senate,0,TN-Sen02,TN-Sen02-hagerty_bill-,hagerty,1,R,NA,NA,bill,TN,TN-Sen02-hagerty_bill-,1.341,1.423,1.151,TNS20,62.2,2277,1.39,1.5,1.16,0.68,0,0,0,NA,1.034735001,0.5,1.16,0.0325,1547,1.5,0.0067,39054,0,20722,NA,0,1,1.16,1.5,0.92,-0.049,2020
67,Marquita Bradshaw,Senate,0,TN-Sen02,TN-Sen02-bradshaw_marquita-,bradshaw,1,D,NA,NA,marquita,TN,TN-Sen02-bradshaw_marquita-,-1.039,-1.128,-1.04,TNS20,35.16,2291,-1.17,-1.24,-1.15,0.21,0,0,0,NA,-0.870059059,0.5,-1.15,0.0496,939,-1.24,0.0285,3025,0,54264,NA,0,0,-1.15,-1.24,0.12,0.131,2020
68,John Cornyn,Senate,1,TX-Sen02,TX-Sen02-cornyn_john-,cornyn,1,R,0.477,NA,john,TX,TX-Sen02-cornyn_john-,1.271,1.2,1.346,TXS20,53.51,2546,1.02,1.2,0.63,0.69,0,0,0,0.83,0.831409086,0.5,0.63,0.0335,1723,1.2,0.0069,44101,0,6230,NA,0,1,0.63,1.2,0.85,0.251,2020
69,MJ Hegar,Senate,0,TX-Sen02,TX-Sen02-hegar_mj-,hegar,1,D,NA,NA,mary,TX,TX-Sen02-hegar_mary-,-1.012,-0.888,-1.014,TXS20,43.87,2549,-0.83,-0.99,-0.62,0.57,0,0,0,NA,-0.870059059,0.5,-0.62,0.0468,1428,-0.99,0.0111,21972,0,NA,NA,0,0,-0.62,-0.99,0.2,-0.182,2020
70,Daniel Gade,Senate,0,VA-Sen02,VA-Sen02-gade_daniel-,gade,1,R,NA,NA,daniel,VA,VA-Sen02-gade_daniel-,1.475,1.247,1.475,VAS20,43.91,2644,1.36,1.35,1.39,0.7,0,0,0,NA,1.034735001,0.5,1.39,0.0823,265,1.35,0.0165,7339,0,10383,NA,0,1,1.39,1.35,0.91,0.115,2020
